iter	Passed	Remaining
0	129	129292
1	140	70066
2	150	50040
3	161	40107
4	172	34395
5	182	30156
6	192	27324
7	202	25090
8	213	23465
9	223	22128
10	232	20915
11	242	19948
12	251	19065
13	259	18287
14	269	17680
15	278	17100
16	287	16612
17	296	16169
18	305	15766
19	313	15380
20	322	15044
21	331	14718
22	340	14457
23	348	14165
24	356	13899
25	364	13667
26	373	13445
27	381	13236
28	390	13068
29	399	12907
30	408	12762
31	417	12624
32	425	12479
33	434	12336
34	442	12209
35	452	12104
36	460	11990
37	469	11875
38	477	11775
39	485	11659
40	493	11541
41	501	11436
42	509	11348
43	518	11269
44	527	11195
45	536	11123
46	544	11049
47	552	10967
48	561	10892
49	569	10819
50	578	10756
51	586	10690
52	595	10638
53	603	10575
54	612	10518
55	620	10457
56	629	10413
57	638	10369
58	646	10313
59	656	10289
60	665	10245
61	675	10220
62	683	10166
63	692	10133
64	700	10082
65	709	10043
66	717	9994
67	727	9965
68	736	9932
69	745	9899
70	753	9862
71	763	9846
72	775	9848
73	784	9818
74	792	9778
75	801	9747
76	810	9714
77	819	9681
78	827	9646
79	836	9616
80	844	9582
81	853	9551
82	861	9517
83	869	9484
84	878	9455
85	886	9420
86	894	9389
87	903	9365
88	912	9339
89	920	9311
90	928	9277
91	937	9248
92	945	9224
93	954	9201
94	963	9174
95	972	9156
96	981	9135
97	990	9112
98	999	9094
99	1007	9071
100	1017	9054
101	1025	9028
102	1034	9009
103	1043	8986
104	1052	8971
105	1061	8954
106	1070	8934
107	1079	8915
108	1088	8898
109	1097	8882
110	1112	8908
111	1124	8913
112	1136	8923
113	1147	8916
114	1156	8899
115	1165	8879
116	1173	8856
117	1182	8836
118	1190	8810
119	1198	8786
120	1206	8765
121	1215	8745
122	1223	8724
123	1234	8720
124	1246	8728
125	1255	8710
126	1264	8693
127	1273	8678
128	1283	8664
129	1292	8653
130	1301	8635
131	1311	8627
132	1321	8611
133	1332	8609
134	1340	8591
135	1349	8573
136	1357	8551
137	1365	8526
138	1372	8499
139	1379	8472
140	1385	8443
141	1393	8419
142	1400	8392
143	1408	8372
144	1416	8352
145	1424	8331
146	1431	8308
147	1438	8283
148	1446	8262
149	1455	8245
150	1462	8225
151	1470	8204
152	1479	8188
153	1489	8180
154	1498	8166
155	1507	8154
156	1515	8138
157	1524	8126
158	1532	8105
159	1541	8094
160	1549	8077
161	1558	8059
162	1566	8044
163	1574	8027
164	1584	8018
165	1593	8006
166	1604	8004
167	1614	7993
168	1623	7983
169	1631	7967
170	1641	7960
171	1654	7963
172	1664	7958
173	1675	7951
174	1684	7940
175	1693	7927
176	1702	7918
177	1711	7903
178	1720	7892
179	1730	7882
180	1738	7866
181	1746	7851
182	1756	7841
183	1766	7835
184	1775	7820
185	1783	7805
186	1791	7788
187	1800	7778
188	1809	7764
189	1820	7759
190	1829	7747
191	1838	7737
192	1848	7727
193	1856	7713
194	1866	7704
195	1875	7693
196	1885	7687
197	1894	7671
198	1903	7661
199	1911	7646
200	1920	7634
201	1928	7618
202	1937	7604
203	1944	7589
204	1953	7576
205	1962	7562
206	1970	7547
207	1979	7539
208	1990	7532
209	2001	7529
210	2011	7520
211	2020	7510
212	2029	7500
213	2038	7487
214	2049	7481
215	2058	7470
216	2066	7457
217	2076	7449
218	2085	7435
219	2093	7423
220	2102	7410
221	2111	7399
222	2119	7385
223	2128	7374
224	2136	7359
225	2145	7348
226	2154	7337
227	2164	7327
228	2174	7320
229	2183	7309
230	2191	7296
231	2199	7281
232	2207	7268
233	2215	7253
234	2224	7241
235	2233	7230
236	2243	7223
237	2252	7210
238	2261	7200
239	2270	7189
240	2279	7178
241	2287	7164
242	2295	7150
243	2304	7140
244	2314	7130
245	2324	7123
246	2335	7118
247	2345	7113
248	2355	7103
249	2368	7104
250	2380	7102
251	2391	7097
252	2400	7086
253	2409	7077
254	2420	7071
255	2430	7062
256	2441	7057
257	2450	7047
258	2459	7035
259	2469	7029
260	2479	7020
261	2486	7004
262	2496	6995
263	2507	6991
264	2517	6983
265	2527	6974
266	2558	7023
267	2578	7043
268	2590	7040
269	2599	7029
270	2608	7018
271	2618	7007
272	2627	6997
273	2636	6986
274	2646	6976
275	2657	6971
276	2669	6968
277	2680	6961
278	2689	6951
279	2700	6942
280	2708	6929
281	2716	6916
282	2724	6903
283	2732	6890
284	2740	6876
285	2749	6863
286	2757	6849
287	2765	6837
288	2773	6823
289	2781	6810
290	2789	6796
291	2797	6783
292	2805	6770
293	2814	6758
294	2822	6745
295	2830	6732
296	2838	6718
297	2846	6705
298	2854	6693
299	2863	6680
300	2871	6668
301	2879	6655
302	2887	6642
303	2895	6629
304	2903	6616
305	2911	6604
306	2920	6591
307	2928	6580
308	2936	6567
309	2945	6556
310	2953	6543
311	2961	6530
312	2969	6517
313	2977	6504
314	2985	6491
315	2993	6479
316	3001	6467
317	3009	6454
318	3017	6440
319	3025	6429
320	3033	6417
321	3042	6405
322	3050	6392
323	3057	6380
324	3065	6367
325	3074	6356
326	3082	6343
327	3090	6332
328	3099	6320
329	3106	6308
330	3115	6296
331	3123	6284
332	3131	6271
333	3139	6261
334	3147	6247
335	3154	6234
336	3163	6223
337	3171	6211
338	3179	6200
339	3187	6187
340	3196	6176
341	3204	6165
342	3211	6152
343	3220	6140
344	3228	6128
345	3237	6118
346	3245	6107
347	3253	6096
348	3262	6084
349	3270	6073
350	3277	6060
351	3285	6047
352	3292	6034
353	3299	6020
354	3307	6009
355	3315	5996
356	3324	5987
357	3333	5977
358	3341	5965
359	3349	5954
360	3357	5943
361	3366	5932
362	3375	5923
363	3383	5911
364	3391	5899
365	3399	5888
366	3407	5876
367	3415	5865
368	3424	5855
369	3433	5845
370	3441	5834
371	3449	5823
372	3457	5811
373	3465	5801
374	3473	5789
375	3481	5778
376	3489	5765
377	3496	5754
378	3504	5742
379	3512	5730
380	3520	5719
381	3527	5707
382	3535	5695
383	3542	5683
384	3550	5672
385	3558	5660
386	3566	5649
387	3574	5637
388	3581	5625
389	3588	5612
390	3595	5600
391	3603	5589
392	3611	5578
393	3619	5567
394	3627	5555
395	3635	5545
396	3643	5533
397	3651	5523
398	3659	5512
399	3667	5501
400	3674	5489
401	3682	5478
402	3689	5466
403	3698	5456
404	3706	5445
405	3714	5435
406	3723	5425
407	3732	5415
408	3741	5405
409	3749	5395
410	3757	5384
411	3765	5374
412	3773	5363
413	3782	5353
414	3790	5343
415	3798	5332
416	3806	5322
417	3814	5311
418	3822	5301
419	3830	5290
420	3839	5279
421	3847	5269
422	3855	5258
423	3863	5248
424	3870	5236
425	3878	5226
426	3886	5215
427	3895	5205
428	3902	5194
429	3911	5184
430	3919	5174
431	3927	5164
432	3935	5153
433	3943	5143
434	3951	5131
435	3958	5120
436	3966	5109
437	3973	5098
438	3981	5088
439	3990	5078
440	3998	5068
441	4006	5057
442	4014	5047
443	4022	5037
444	4030	5026
445	4038	5016
446	4046	5005
447	4054	4995
448	4062	4985
449	4070	4974
